titulo,genero,diretor,classificacao,ano,avaliacao,pais_origem
Filme 542,Suspense,Alfonso Cuarón,18,2017,8.7,Estados Unidos
Filme 1100,Ficção Científica,Roberto Santucci,14,1933,7.5,Argentina
Filme 1133,Faroeste,Federico Fellini,12,1989,4.7,Índia
Filme 5274,Ficção Científica,Anthony Russo,12,1936,7.8,China
Filme 3208,Crime,Quentin Tarantino,14,1980,8.9,Canadá
Filme 2259,Aventura,Ari Aster,18,1975,9.9,Noruega
Filme 4400,Comédia,John Lasseter,10,1941,5.1,Argentina
Filme 60,Drama,Juan José Campanella,16,2009,8.2,Argentina
Filme 3409,Drama,Michael Jelenic,10,1931,8.1,Austrália
Filme 1939,Drama,Michael Cimino,14,2001,9.5,Noruega
Filme 4408,Animação,John Lasseter,4,1968,8.5,Canadá
Filme 5368,Aventura,Andrew Niccol,0,2025,4.8,Canadá
Filme 3104,Drama,Stephen Daldry,18,2009,9.3,França
Filme 4516,Suspense,Christopher Nolan,4,1953,5.6,Suécia
Filme 1079,Comédia,George Lucas,10,1972,4.9,Noruega
Filme 4117,Aventura,Beto Brant,0,2016,5.9,Dinamarca
Filme 5141,Histórico,Anthony Russo,16,1999,9.0,Brasil
Filme 3701,Documentário,Ivan Reitman,10,1940,5.7,Brasil
Filme 4636,Épico,Dan Kwan,4,1981,7.5,Suécia
Filme 2631,Drama,Roberto Benigni,0,1987,5.6,Coreia do Sul
Filme 3391,Terror,Robert Wiene,16,1931,8.6,Coreia do Sul
Filme 941,Histórico,Roman Polanski,10,1973,8.1,Brasil
Filme 1081,Musical,George Lucas,10,1956,9.2,Brasil
Filme 188,Drama,Darren Aronofsky,16,2022,7.7,Canadá
Filme 3107,Aventura,Stephen Daldry,14,2009,5.3,Japão
Filme 2086,Suspense,José Alvarenga Jr.,4,1951,6.2,Itália
Filme 2250,Documentário,Ari Aster,14,2005,4.7,Espanha
Filme 3077,Sátira,James Marsh,12,1980,5.8,Dinamarca
Filme 5318,Terror,Peter Weir,10,1926,5.8,Nova Zelândia
Filme 2024,Comédia,Halder Gomes,4,1972,6.6,França
Filme 3167,Sátira,João Batista de Andrade,14,2001,8.8,Japão
Filme 1493,Fantasia,Darren Aronofsky,18,2009,9.7,Índia
Filme 4182,Suspense,José Padilha,10,1961,7.5,Estados Unidos
Filme 227,Terror,Alfred Hitchcock,14,1963,7.9,Japão
Filme 3909,Épico,Paulo Morelli,16,1994,6.4,Austrália
Filme 2584,Ficção Científica,Paul King,14,1947,9.9,França
Filme 1930,Drama,Michael Cimino,0,2020,5.7,Espanha
Filme 3618,Animação,Daniel Filho,14,2017,8.5,Nova Zelândia
Filme 4886,Histórico,Todd Phillips,4,1987,6.3,Itália
Filme 1405,Drama,F.W. Murnau,12,1963,5.1,Alemanha
Filme 2180,Faroeste,Stanley Kubrick,4,1962,8.5,Argentina
Filme 698,Épico,Taika Waititi,4,1991,5.9,Nova Zelândia
Filme 1125,Crime,Federico Fellini,18,1958,5.8,Alemanha
Filme 3304,Romance,Spike Jonze,18,1947,8.9,França
Filme 4476,Guerra,Tom McCarthy,10,1988,7.2,Suécia
Filme 1779,Terror,William Wyler,18,1950,6.5,Noruega
Filme 2635,Musical,Roberto Benigni,10,2007,6.2,Irlanda
Filme 5324,Terror,Jonathan Demme,16,1927,9.2,França
Filme 1038,Suspense,Sergio Leone,16,2017,5.4,Nova Zelândia
Filme 4541,Drama,Florian Zeller,18,2018,9.9,Brasil
Filme 2257,Sátira,Ari Aster,12,1946,8.0,Dinamarca
Filme 5373,Ficção Científica,Juan José Campanella,0,2025,8.6,Índia
Filme 314,Biografia,Tom Hooper,12,2010,8.0,China
Filme 2650,Sátira,James Mangold,10,2011,4.8,Espanha
Filme 2282,Aventura,Peter Weir,0,2019,7.5,Estados Unidos
Filme 4742,Animação,Anthony Minghella,12,1964,4.9,Estados Unidos
Filme 2548,Ficção Científica,Akira Kurosawa,10,1941,4.9,Canadá
Filme 1417,Suspense,F.W. Murnau,18,1960,7.8,Dinamarca
Filme 1037,Histórico,Sergio Leone,10,2019,4.2,Dinamarca
Filme 2160,Faroeste,Jorge Furtado,4,1957,6.0,Argentina
Filme 4529,Biografia,Florian Zeller,10,1969,6.0,Austrália
Filme 1755,Biografia,Orson Welles,4,1965,7.7,Irlanda
Filme 3686,Guerra,Ivan Reitman,14,1951,9.1,Itália
Filme 3322,Musical,Matt Bettinelli-Olpin,10,1999,6.7,Estados Unidos
Filme 4350,Romance,George P. Cosmatos,18,1985,4.8,Espanha
Filme 2521,Épico,Jonathan Demme,4,1926,6.3,Brasil
Filme 4471,Documentário,Paul Greengrass,18,1979,8.0,Coreia do Sul
Filme 3959,Fantasia,Bryan Singer,4,1926,8.9,Noruega
Filme 5210,Biografia,Ruben Östlund,4,1959,9.4,Espanha
Filme 1507,Romance,Darren Aronofsky,16,2023,7.9,Japão
Filme 1924,Documentário,Michael Cimino,16,1954,6.5,França
Filme 449,Ação,Patty Jenkins,0,2020,8.1,Austrália
Filme 2886,Suspense,James Gray,4,1989,5.8,Itália
Filme 4914,Sátira,Gary Ross,12,1969,7.7,China
Filme 5403,Ação,Catherine Hardwicke,16,1954,9.7,Reino Unido
Filme 3591,Épico,Carlos Diegues,18,2011,9.5,Coreia do Sul
Filme 362,Fantasia,Lulu Wang,16,1964,6.2,Estados Unidos
Filme 2184,Aventura,Stanley Kubrick,12,1948,5.4,França
Filme 1135,Musical,Federico Fellini,12,2020,8.8,Irlanda
Filme 4344,Animação,George P. Cosmatos,18,1936,5.8,França
Filme 2156,Documentário,Jorge Furtado,14,2003,9.0,Suécia
Filme 1831,Ficção Científica,Ryan Coogler,4,2006,9.4,Coreia do Sul
Filme 1054,Guerra,Sergio Leone,18,1957,5.2,China
Filme 2461,Faroeste,Louis Leterrier,14,1997,6.2,Brasil
Filme 23,Ficção Científica,Robert Zemeckis,10,1985,8.5,Reino Unido
Filme 2067,Suspense,Guillermo del Toro,4,1973,9.7,Japão
Filme 1654,Drama,Alejandro González Iñárritu,18,1926,5.8,China
Filme 3054,Histórico,Tom Hooper,0,2004,7.2,China
Filme 3802,Biografia,Caito Ortiz,0,2009,5.7,Estados Unidos
Filme 2744,Guerra,Roger Allers,0,1961,6.6,França
Filme 3306,Crime,Spike Jonze,0,1975,5.5,Itália
Filme 4428,Guerra,David O. Russell,16,2006,4.2,Canadá
Filme 2469,Ação,Louis Leterrier,12,2013,9.4,Austrália
Filme 2326,Épico,Carol Reed,12,1998,9.7,Itália
Filme 461,Ficção Científica,Alfonso Cuarón,10,2010,9.0,Brasil
Filme 1068,Terror,David Yates,14,1982,8.6,Canadá
Filme 88,Drama,José Henrique Fonseca,14,2003,6.7,Canadá
Filme 1431,Musical,Damien Chazelle,0,2007,8.3,Coreia do Sul
Filme 4435,Histórico,David O. Russell,12,1996,5.4,Irlanda
Filme 283,Fantasia,F.W. Murnau,18,1926,7.8,Reino Unido
Filme 2484,Sátira,Christopher McQuarrie,4,1972,6.9,França
Filme 463,Terror,Jane Campion,0,1976,7.9,Reino Unido
Filme 213,Musical,Stanley Donen,0,1952,8.3,Índia
Filme 2589,Ficção Científica,Paul King,0,1991,5.1,Austrália
Filme 5090,Crime,Scott Hicks,16,1994,8.1,Espanha
Filme 2582,Animação,Paul King,4,2002,5.8,Estados Unidos
Filme 1369,Ação,Fritz Lang,0,1940,5.5,Austrália
Filme 235,Comédia,Billy Wilder,14,1959,8.5,Irlanda
Filme 3362,Terror,Lee Unkrich,18,1954,6.4,Estados Unidos
Filme 598,Biografia,Ivan Reitman,14,1941,8.1,Nova Zelândia
Filme 4812,Guerra,Rob Cohen,12,1997,6.8,México
Filme 2251,Romance,Ari Aster,4,1998,6.0,Coreia do Sul
Filme 4425,Animação,David O. Russell,12,1946,6.4,Alemanha
Filme 2284,Romance,Peter Weir,14,1978,6.6,França
Filme 663,Crime,Anselmo Duarte,18,1984,6.9,Reino Unido
Filme 5397,Aventura,Heitor Dhalia,14,1978,4.7,Dinamarca
Filme 2286,Romance,Peter Weir,12,1987,7.3,Itália
Filme 5129,Crime,Anthony Russo,16,1958,8.8,Austrália
Filme 3780,Ação,Cláudio Torres,14,1960,5.0,Argentina
Filme 5376,Ação,Anthony Minghella,12,2025,7.8,Suécia
Filme 2955,Comédia,Kate Herron,18,2009,8.8,Irlanda
Filme 4259,Romance,Heitor Dhalia,4,1972,6.7,Noruega
Filme 780,Romance,Ridley Scott,16,2002,5.6,Argentina
Filme 2545,Sátira,Akira Kurosawa,14,1936,8.2,Alemanha
Filme 4094,Romance,Juan José Campanella,0,1949,8.8,China
Filme 4056,Documentário,Park Chan-wook,4,1934,9.3,Suécia
Filme 3889,Animação,Daniel Ribeiro,16,2025,5.9,Austrália
Filme 3786,Drama,Cláudio Torres,16,1950,5.8,Itália
Filme 5256,Suspense,Chris Weitz,4,1941,5.9,Suécia
Filme 686,Sátira,Roberto Benigni,14,2004,7.4,Itália
Filme 3752,Terror,Marcus Baldini,10,2020,9.6,México
Filme 3247,Documentário,Ingmar Bergman,18,1958,7.1,Japão
Filme 4066,Ação,Galder Gaztelu-Urrutia,0,1954,7.5,Itália
Filme 2838,Drama,Noah Baumbach,0,1951,8.7,Nova Zelândia
Filme 2172,Suspense,Jorge Furtado,4,1934,8.0,México
Filme 3146,Romance,Éric Lartigau,10,1969,8.6,Itália
Filme 1851,Crime,Ryan Coogler,10,1942,9.6,Coreia do Sul
Filme 488,Documentário,Pedro Almodóvar,12,2007,9.3,Canadá
Filme 1689,Épico,Sofia Coppola,16,2017,4.5,Austrália
Filme 2231,Crime,Martin McDonagh,18,1994,9.8,Coreia do Sul
Filme 3862,Ação,Luiz Fernando Carvalho,4,2025,9.8,Estados Unidos
Filme 2321,Documentário,Carol Reed,12,2015,8.0,Brasil
Filme 783,Animação,Ridley Scott,10,1984,8.6,Reino Unido
Filme 522,Drama,Wes Anderson,10,1981,9.3,Estados Unidos
Filme 523,Ação,Taika Waititi,16,1972,8.3,Reino Unido
Filme 3350,Guerra,Lee Unkrich,4,1989,8.9,Espanha
Filme 2940,Terror,Kate Herron,0,2013,7.9,Argentina
Filme 4384,Terror,Clint Eastwood,16,1989,7.4,França
Filme 2399,Romance,James Gunn,12,1951,9.1,Noruega
Filme 2208,Terror,Afonso Poyart,14,2014,4.5,Canadá
Filme 4104,Romance,Juan José Campanella,0,2025,5.9,França
Filme 781,Histórico,Ridley Scott,4,2020,7.6,Brasil
Filme 4255,Faroeste,Marcos Jorge,4,2012,9.2,Irlanda
Filme 3332,Sátira,Matt Bettinelli-Olpin,0,2008,8.8,México
Filme 1512,Romance,Victor Fleming,18,1993,6.9,México
Filme 1883,Documentário,David Fincher,16,2008,6.8,Reino Unido
Filme 652,Crime,Anthony Russo,0,2012,8.7,México
Filme 4317,Guerra,John McTiernan,10,1970,8.3,Dinamarca
Filme 3658,Ficção Científica,Pedro Amorim,16,1977,8.9,Nova Zelândia
Filme 370,Histórico,Patty Jenkins,12,1991,6.2,Espanha
Filme 4758,Ficção Científica,Anthony Minghella,16,1950,9.8,Nova Zelândia
Filme 3113,Guerra,Stephen Daldry,10,2001,6.7,Índia
Filme 119,Ação,Rob Cohen,14,2001,6.8,Noruega
Filme 3928,Aventura,Damián Szifron,10,1972,5.3,Canadá
Filme 3791,Romance,Cláudio Torres,4,1983,9.2,Coreia do Sul
Filme 2217,Romance,Afonso Poyart,10,1993,5.1,Dinamarca
Filme 4141,Faroeste,Walter Salles,10,2023,6.8,Brasil
Filme 1614,Animação,Jim Jarmusch,12,1946,5.0,China
Filme 2884,Ação,James Gray,14,2011,9.3,França
Filme 3443,Épico,Rian Johnson,10,1936,5.1,Reino Unido
Filme 963,Suspense,David Lean,4,2006,5.1,Reino Unido
Filme 2511,Ficção Científica,Jonathan Demme,14,1993,7.8,Coreia do Sul
Filme 4146,Faroeste,Walter Salles,12,2025,9.7,Itália
Filme 3333,Sátira,Matt Bettinelli-Olpin,16,1958,7.4,Índia
Filme 4077,Aventura,Galder Gaztelu-Urrutia,16,1985,4.2,Dinamarca
Filme 3708,Épico,Toninho Moura,0,1947,6.5,Canadá
Filme 2416,Faroeste,Michael Curtiz,4,1983,4.2,Suécia
Filme 5059,Suspense,Christian Ditter,16,1951,9.2,Noruega
Filme 4605,Histórico,Baz Luhrmann,0,1977,7.5,Alemanha
Filme 2186,Faroeste,Stanley Kubrick,10,1961,5.4,Itália
Filme 4837,Crime,Richard Marquand,12,1972,9.5,Dinamarca
Filme 2568,Documentário,Cecil B. DeMille,18,2025,5.5,Canadá
Filme 2038,Ficção Científica,Lasse Hallström,0,2025,9.3,Nova Zelândia
Filme 4664,Documentário,Todd Field,14,1961,5.6,França
Filme 773,Aventura,Taika Waititi,16,1951,5.8,Índia
Filme 1285,Histórico,Milos Forman,10,2012,5.9,Alemanha
Filme 5003,Terror,Nick Cassavetes,14,1977,4.9,Reino Unido
Filme 5151,Animação,Michael Hoffman,12,2016,6.4,Coreia do Sul
Filme 2588,Crime,Paul King,16,1969,7.2,Canadá
Filme 4975,Animação,David Slade,18,1998,9.2,Irlanda
Filme 1415,Animação,F.W. Murnau,18,1991,8.7,Irlanda
Filme 1235,Histórico,Kleber Mendonça Filho,10,1958,6.8,Irlanda
Filme 3188,Musical,Eric Bress,12,2019,8.9,Canadá
Filme 436,Drama,Alfonso Cuarón,16,2015,5.0,Suécia
Filme 1675,Fantasia,Sofia Coppola,4,1979,6.8,Irlanda
Filme 366,Suspense,Barry Jenkins,12,2000,5.7,Itália
Filme 4708,Fantasia,Mark Mylod,10,1922,8.8,Canadá
Filme 232,Épico,Cecil B. DeMille,16,1956,7.9,México
Filme 4639,Animação,Dan Kwan,14,1927,9.9,Noruega
Filme 148,Romance,Bill Condon,16,2011,4.9,Canadá
Filme 4786,Faroeste,Chris Weitz,10,1970,6.8,Itália
Filme 3366,Ficção Científica,Lee Unkrich,10,1958,8.2,Itália
Filme 408,Animação,Ridley Scott,14,2003,8.6,Canadá
Filme 2091,Histórico,José Alvarenga Jr.,4,1992,5.4,Coreia do Sul
Filme 87,Comédia,Jorge Furtado,14,2004,7.2,Japão
Filme 845,Ficção Científica,Miyazaki Hayao,10,1927,5.0,Alemanha
Filme 1032,Ficção Científica,Hayao Miyazaki,18,1920,6.6,México
Filme 3103,Épico,Sarah Gavron,14,2012,9.4,Reino Unido
Filme 5172,Ação,Joe Wright,4,2001,7.6,México
Filme 4653,Ação,Gerard Johnstone,4,1926,9.0,Índia
Filme 2988,Animação,Edward Zwick,12,1960,6.2,Canadá
Filme 3825,Aventura,Mark Dindal,10,2005,7.3,Alemanha
Filme 2629,Animação,Roberto Benigni,14,2010,7.2,Austrália
Filme 3134,Musical,Éric Lartigau,0,1987,5.5,China
Filme 856,Crime,Lulu Wang,10,1985,5.3,Suécia
Filme 3912,Aventura,Paulo Morelli,18,1971,8.0,México
Filme 79,Drama,Hector Babenco,18,1981,7.7,Noruega
Filme 2993,Sátira,Edward Zwick,16,1966,8.0,Índia
Filme 2248,Faroeste,Ari Aster,18,1991,4.7,Canadá
Filme 3806,Guerra,Caito Ortiz,4,1971,6.7,Itália
Filme 4969,Documentário,David Slade,16,2013,9.3,Austrália
Filme 5006,Musical,Nick Cassavetes,4,1931,8.9,Itália
Filme 759,Faroeste,Jordan Peele,14,1992,5.6,Noruega
Filme 3823,Guerra,Caito Ortiz,18,1984,8.8,Reino Unido
Filme 3439,Drama,Chloé Zhao,12,1987,5.5,Noruega
Filme 2280,Documentário,Peter Weir,12,1968,9.2,Argentina
Filme 3066,Romance,James Marsh,18,1969,6.0,Itália
Filme 4525,Guerra,Florian Zeller,0,1976,4.2,Alemanha
Filme 4338,Drama,George P. Cosmatos,4,1988,6.8,Nova Zelândia
Filme 5100,Sátira,Richard Curtis,4,1952,6.1,Argentina
Filme 2177,Drama,Stanley Kubrick,14,1947,4.2,Dinamarca
Filme 425,Terror,Miyazaki Hayao,12,2009,5.9,Alemanha
Filme 393,Ficção Científica,Wes Anderson,16,1976,6.6,Índia
Filme 5139,Suspense,Anthony Russo,12,1993,5.7,Noruega
Filme 4045,Sátira,Park Chan-wook,18,1984,6.8,Alemanha
Filme 105,Ação,Halder Gomes,18,2016,6.0,Alemanha
Filme 2673,Sátira,Matt Ross,18,2017,9.5,Índia
Filme 3514,Musical,Daniel Rezende,14,2019,8.4,China
Filme 4761,Ficção Científica,Joseph Kosinski,18,1992,7.6,Brasil
Filme 3712,Comédia,Toninho Moura,10,1963,7.6,México
Filme 3318,Aventura,Spike Jonze,16,1989,4.7,Nova Zelândia
Filme 1949,Suspense,Bong Joon-ho,12,1988,7.6,Austrália
Filme 1460,Histórico,Charlie Chaplin,4,2012,7.1,Argentina
Filme 5067,Biografia,Christian Ditter,0,2016,5.6,Japão
Filme 3312,Sátira,Spike Jonze,14,2005,7.5,México
Filme 3197,Comédia,Eric Bress,16,1926,9.0,Dinamarca
Filme 5207,Romance,Francis Lawrence,16,1959,8.8,Japão
Filme 1588,Aventura,Lana Wachowski,10,2001,4.8,Canadá
Filme 4212,Épico,Anselmo Duarte,18,2003,9.6,México
Filme 1732,Épico,Sam Mendes,18,2021,9.8,México
Filme 5181,Comédia,Chris Weitz,4,1999,6.4,Brasil
Filme 4242,Documentário,Marcos Jorge,14,1988,8.0,Estados Unidos
Filme 183,Ação,Robert Eggers,18,2022,7.2,Reino Unido
Filme 1792,Crime,William Friedkin,16,1999,8.7,México
Filme 2356,Documentário,Julius Avery,10,1956,4.9,Suécia
Filme 1941,Épico,Michael Cimino,18,1962,8.1,Brasil
Filme 703,Épico,Vittorio De Sica,0,1966,8.8,Reino Unido
Filme 2443,Histórico,Rob Marshall,16,1958,9.7,Reino Unido
Filme 3323,Suspense,Matt Bettinelli-Olpin,4,1998,9.8,Reino Unido
Filme 497,Animação,Lulu Wang,12,2022,7.6,Dinamarca
Filme 4241,Biografia,Marcos Jorge,10,1996,8.1,Brasil
Filme 465,Histórico,Wes Anderson,16,2023,8.0,Alemanha
Filme 3204,Faroeste,Quentin Tarantino,14,1990,9.4,França
Filme 4711,Histórico,Mark Mylod,10,1981,9.5,Coreia do Sul
Filme 173,Drama,Alfonso Cuarón,14,2018,7.7,Índia
Filme 4838,Guerra,Richard Marquand,0,1971,9.6,Nova Zelândia
Filme 5214,Biografia,Dan Kwan,0,1957,7.2,China
Filme 2541,Ação,Akira Kurosawa,0,1992,4.7,Brasil
Filme 3860,Documentário,Luiz Fernando Carvalho,18,1981,7.3,Argentina
Filme 3489,Animação,Fernando Coimbra,0,1941,8.2,Austrália
Filme 2261,Biografia,Ari Aster,12,1931,5.0,Brasil
Filme 2113,Musical,André Pellenz,10,1968,8.4,Índia
Filme 901,Ficção Científica,Billy Wilder,4,1927,9.8,Brasil
Filme 1447,Terror,Charlie Chaplin,12,1994,6.3,Japão
Filme 1912,Terror,Robert Zemeckis,4,1996,6.7,México
Filme 2698,Animação,Sidney Lumet,18,2017,6.5,Nova Zelândia
Filme 3347,Ação,Lee Unkrich,12,2015,9.0,Japão
Filme 742,Terror,Jane Campion,4,1968,6.5,Estados Unidos
Filme 2294,Comédia,Cao Hamburger,12,1992,6.1,China
Filme 2453,Musical,Rob Marshall,0,1960,5.0,Índia
Filme 3987,Aventura,Nicolas Winding Refn,14,2003,5.9,Japão
Filme 4449,Faroeste,Paul Greengrass,10,1978,6.7,Austrália
Filme 1207,Histórico,Brian De Palma,16,1966,8.3,Japão
Filme 510,Ação,Patty Jenkins,16,2007,8.8,Espanha
Filme 4520,Ação,Florian Zeller,0,1993,4.5,Argentina
Filme 3092,Comédia,Sarah Gavron,12,1996,4.5,México
Filme 4389,Histórico,Clint Eastwood,18,1960,6.8,Austrália
Filme 3920,Faroeste,Damián Szifron,14,1949,7.7,Argentina
Filme 1550,Épico,Robert Eggers,12,1999,8.8,Espanha
Filme 3030,Guerra,Mel Gibson,18,1969,6.1,Espanha
Filme 3866,Documentário,Luiz Fernando Carvalho,18,1977,6.5,Itália
Filme 2203,Ficção Científica,Afonso Poyart,10,1971,5.1,Reino Unido
Filme 2567,Documentário,Cecil B. DeMille,12,1970,9.0,Japão
Filme 3163,Histórico,João Batista de Andrade,18,1984,4.9,Reino Unido
Filme 2045,Fantasia,Lasse Hallström,10,1950,7.9,Alemanha
Filme 768,Musical,Jordan Peele,10,2018,6.8,Canadá
Filme 5297,Documentário,James Cameron,4,1933,6.4,Dinamarca
Filme 1509,Musical,Darren Aronofsky,18,1993,7.0,Austrália
Filme 422,Ação,Quentin Tarantino,14,2012,7.2,Estados Unidos
Filme 124,Ficção Científica,George Lucas,10,1999,6.5,França
Filme 4528,Suspense,Florian Zeller,10,1961,4.2,Canadá
Filme 5432,Sátira,Quentin Tarantino,4,1972,4.2,México
Filme 820,Fantasia,Greta Gerwig,12,2019,9.4,Argentina
Filme 1404,Crime,F.W. Murnau,14,1977,5.5,França
Filme 1383,Biografia,Chris Columbus,0,1948,5.0,Reino Unido
Filme 2149,Sátira,Steven Spilberg,16,2015,9.9,Austrália
Filme 4587,Documentário,Adam McKay,4,1946,4.7,Japão
Filme 1576,Ação,Hector Babenco,0,1994,7.1,Suécia
Filme 1639,Terror,Chad Stahelski,14,1970,5.6,Noruega
Filme 1796,Épico,William Friedkin,12,1964,4.8,Suécia
Filme 5267,Crime,George P. Cosmatos,12,1940,5.2,Japão
Filme 4846,Musical,Richard Marquand,10,1994,5.5,Itália
Filme 400,Ficção Científica,Pedro Almodóvar,18,1970,9.6,Argentina
Filme 2311,Guerra,Cao Hamburger,12,1994,9.6,Coreia do Sul
Filme 883,Animação,Christopher Nolan,0,2007,8.2,Reino Unido
Filme 5407,Histórico,Ruben Östlund,12,1987,9.7,Japão
Filme 3426,Comédia,Chloé Zhao,4,1978,7.8,Itália
Filme 1353,Drama,Vittorio De Sica,10,1956,7.1,Índia
Filme 4454,Biografia,Paul Greengrass,10,1984,4.5,China
Filme 4949,Crime,Catherine Hardwicke,10,1950,9.9,Austrália
Filme 2131,Musical,Steven Spilberg,10,1997,6.9,Coreia do Sul
Filme 983,Suspense,Guel Arraes,18,1998,6.9,Reino Unido
Filme 457,Ação,Patty Jenkins,10,1967,5.8,Dinamarca
Filme 1487,Biografia,Joel Coen,16,2022,6.0,Japão
Filme 1080,Biografia,George Lucas,0,1952,8.5,Argentina
Filme 1951,Faroeste,Bong Joon-ho,18,1942,8.5,Coreia do Sul
Filme 4690,Sátira,Mark Mylod,12,1940,5.4,Espanha
Filme 690,Épico,Stanley Kubrick,12,1968,9.6,Espanha
Filme 2430,Biografia,Michael Curtiz,18,1991,6.8,Espanha
Filme 642,Crime,Cao Hamburger,12,1994,8.5,Estados Unidos
Filme 2393,Ficção Científica,James Gunn,10,1975,7.4,Índia
Filme 2826,Faroeste,Noah Baumbach,18,2017,5.6,Itália
Filme 1954,Terror,Bong Joon-ho,16,1952,6.5,China
Filme 3248,Aventura,Alex Garland,4,1977,5.2,Canadá
Filme 3059,Drama,James Marsh,14,2022,9.6,Noruega
Filme 3270,Guerra,Alex Garland,10,1980,9.6,Espanha
Filme 4067,Drama,Galder Gaztelu-Urrutia,0,1987,9.7,Japão
Filme 2711,Documentário,Sidney Lumet,18,1951,8.1,Coreia do Sul
Filme 3948,Histórico,Bryan Singer,14,1996,9.9,Canadá
Filme 5183,Comédia,Quentin Tarantino,4,1949,9.9,Reino Unido
Filme 3807,Histórico,Caito Ortiz,4,1947,7.5,Japão
Filme 1885,Romance,David Fincher,12,2005,5.7,Alemanha
Filme 5255,Épico,Stanley Kubrick,4,1940,6.9,Irlanda
Filme 390,Ficção Científica,Quentin Tarantino,16,2006,5.8,Espanha
Filme 2495,Guerra,Christopher McQuarrie,4,1976,5.7,Irlanda
Filme 3691,Ficção Científica,Ivan Reitman,10,2007,9.9,Coreia do Sul
Filme 3037,Musical,Tom Hooper,12,1962,8.3,Dinamarca
Filme 3419,Crime,Chloé Zhao,10,1954,6.5,Noruega
Filme 846,Crime,Miyazaki Hayao,0,2019,5.0,Itália
Filme 543,Musical,Todd Phillips,12,1954,7.5,Reino Unido
Filme 92,Comédia,José Alvarenga Jr.,16,2003,6.3,México
Filme 5115,Guerra,Richard Curtis,18,1973,6.1,Irlanda
Filme 3260,Animação,Alex Garland,10,1922,5.2,Argentina
Filme 1980,Biografia,Frank Capra,4,1954,6.1,Argentina
Filme 3321,Biografia,Matt Bettinelli-Olpin,4,1996,9.8,Brasil
Filme 3151,Guerra,Éric Lartigau,12,2018,6.8,Coreia do Sul
Filme 4483,Faroeste,Tom McCarthy,12,1920,5.8,Reino Unido
Filme 3432,Aventura,Chloé Zhao,16,2022,8.8,México
Filme 5322,Aventura,Richard Marquand,10,1926,5.1,Estados Unidos
Filme 2965,Aventura,Guy Ritchie,18,2004,6.9,Alemanha
Filme 2530,Biografia,Akira Kurosawa,16,2022,6.5,Espanha
Filme 1677,Fantasia,Sofia Coppola,12,1969,7.9,Dinamarca
Filme 1049,Musical,Sergio Leone,16,1996,7.8,Austrália
Filme 2950,Animação,Kate Herron,16,2010,7.4,Espanha
Filme 1961,Sátira,Bong Joon-ho,10,1998,7.7,Brasil
Filme 2531,Comédia,Akira Kurosawa,10,1963,7.0,Coreia do Sul
Filme 3927,Ação,Damián Szifron,4,1931,7.5,Japão
Filme 3287,Documentário,Bob Persichetti,12,1992,9.7,Japão
Filme 238,Épico,David Lean,14,1962,8.8,Nova Zelândia
Filme 5023,Biografia,Nick Cassavetes,14,1993,8.7,Reino Unido
Filme 4110,Ação,Juan José Campanella,12,1976,5.5,Espanha
Filme 1134,Épico,Federico Fellini,12,1998,8.1,China
Filme 2881,Romance,James Gray,16,1958,5.5,Brasil
Filme 1806,Sátira,Charlie Kaufman,18,1977,7.2,Itália
Filme 4508,Musical,Christopher Nolan,0,1940,6.0,Canadá
Filme 164,Drama,Clint Eastwood,16,2004,7.7,França
Filme 5242,Faroeste,Rob Marshall,16,1946,9.6,Estados Unidos
Filme 5174,Ficção Científica,Mike Newell,4,2002,5.9,China
Filme 5121,Romance,Anthony Russo,16,2006,6.2,Brasil
Filme 3957,Suspense,Bryan Singer,18,2023,5.1,Dinamarca
Filme 4085,Aventura,Galder Gaztelu-Urrutia,16,1967,8.9,Alemanha
Filme 4706,Histórico,Mark Mylod,18,1933,5.2,Itália
Filme 266,Drama,Martin Scorsese,16,1988,7.5,Itália
Filme 2002,Ação,Stanley Donen,0,1968,6.3,Estados Unidos
Filme 1812,Guerra,Charlie Kaufman,18,1926,7.6,México
Filme 2979,Musical,Guy Ritchie,12,2022,5.6,Noruega
Filme 3683,Romance,Ivan Reitman,4,1922,7.8,Reino Unido
Filme 2907,Faroeste,Fernando Meirelles,0,1978,9.4,Japão
Filme 3728,Drama,Vinicius Amorim,12,1936,7.8,Canadá
Filme 1429,Guerra,Damien Chazelle,0,1980,5.0,Austrália
Filme 399,Fantasia,Jane Campion,10,1978,7.0,Noruega
Filme 3308,Aventura,Spike Jonze,16,1963,7.8,Canadá
Filme 4024,Histórico,Luc Besson,0,1953,7.9,França
Filme 3079,Romance,James Marsh,10,1947,9.3,Noruega
Filme 3139,Épico,Éric Lartigau,14,1978,8.0,Noruega
Filme 4855,Romance,Richard Marquand,14,1964,5.4,Irlanda
Filme 5054,Documentário,Christian Ditter,10,1946,6.4,China
Filme 4874,Animação,Mike Newell,0,1985,6.6,China
Filme 1453,Animação,Charlie Chaplin,4,1974,9.4,Índia
Filme 594,Biografia,Akira Kurosawa,12,1962,7.8,China
Filme 2726,Guerra,Sidney Pollack,12,2018,7.2,Itália
Filme 42,Ficção Científica,Steven Spielberg,10,1982,7.8,Estados Unidos
Filme 561,Histórico,Éric Lartigau,12,2023,6.6,Brasil
Filme 3470,Aventura,Ruben Östlund,10,1967,7.4,Espanha
